pair_key,metric,mean_delta,ci95_low,ci95_high
100m/climbmix-10B-s1337,ce,-2.4577934757148947,-2.496818435355817,-2.417358409859169
100m/climbmix-10B-s1337,top1,0.28725495188146033,0.28006339426651056,0.2947604256835886
100m/climbmix-10B-s1337,p_correct,0.23134822390545656,0.22299873949534466,0.23931255402719273
13m/climbmix-10B-s1337,ce,-2.382927283792026,-2.4254450173938618,-2.3380640254869145
13m/climbmix-10B-s1337,top1,0.2609807016650542,0.25342430877335925,0.26870079942970626
13m/climbmix-10B-s1337,p_correct,0.2039969890733336,0.19613415036834284,0.21210477107144898
13m/climbmix-10B-s2026,ce,-1.9952975509280713,-2.036988135105579,-1.9543783814685283
13m/climbmix-10B-s2026,top1,0.2278120067213198,0.22089719435816488,0.23530755130098277
13m/climbmix-10B-s2026,p_correct,0.197697773284779,0.19011618899500562,0.20519776856902092
13m/climbmix-10B-s42,ce,-2.278442381756315,-2.327779682444497,-2.227123369289104
13m/climbmix-10B-s42,top1,0.24212027088955648,0.23454172819389973,0.24967691837669953
13m/climbmix-10B-s42,p_correct,0.19279338603271168,0.18484546667352691,0.20040094105904005
