pair_key,loops,window_count,token_count,ce,top1,p_correct
100m/climbmix-10B-s1337,1,205,98195,5.015815138859324,0.19386934161617192,0.12973776782785693
100m/climbmix-10B-s1337,2,205,98195,3.429628517686109,0.3531544375986557,0.24065952026879556
100m/climbmix-10B-s1337,3,205,98195,2.7365920127485226,0.45446305820051935,0.33049861145753195
100m/climbmix-10B-s1337,4,205,98195,2.558021663144429,0.48112429349763225,0.36108599173331357
13m/climbmix-10B-s1337,1,205,98195,5.541320034270194,0.15147410764295532,0.08160277514138159
13m/climbmix-10B-s1337,2,205,98195,4.415092853910053,0.26191761291308113,0.1445453285151654
13m/climbmix-10B-s1337,3,205,98195,3.4670873862625453,0.3700799429706197,0.22992251039527217
13m/climbmix-10B-s1337,4,205,98195,3.158392750478166,0.4124548093080096,0.2855997642147153
13m/climbmix-10B-s2026,1,205,98195,5.142038208469911,0.18564081674219662,0.0889322663107152
13m/climbmix-10B-s2026,2,205,98195,4.2429161876080395,0.2722236366413769,0.1391285082679236
13m/climbmix-10B-s2026,3,205,98195,3.4717423165753196,0.368450532104486,0.2271726524786468
13m/climbmix-10B-s2026,4,205,98195,3.146740657541841,0.4134528234635164,0.28663003959549416
13m/climbmix-10B-s42,1,205,98195,5.42879628982167,0.16951983298538623,0.09324898429609967
13m/climbmix-10B-s42,2,205,98195,4.346247713919952,0.26666327206069557,0.14625738013648973
13m/climbmix-10B-s42,3,205,98195,3.3949983490891897,0.37851214420286167,0.24312653015985145
13m/climbmix-10B-s42,4,205,98195,3.1503539080653566,0.4116401038749427,0.2860423703288113
