pair,hidden_width,core_mixer_minus_gdn_points,mid_attention_post_centered_rank_delta,mid_ffn_input_centered_rank_delta,mid_block_post_centered_rank_delta,end_attention_post_centered_rank_delta,end_ffn_input_centered_rank_delta,end_block_post_centered_rank_delta,mid_ffn_input_top_10pct_energy_delta,mid_ffn_input_mean_pair_cosine_delta,end_ffn_input_top_10pct_energy_delta,end_ffn_input_mean_pair_cosine_delta
100m/climbmix-10B-s1337,768,2.2971000000000004,2.385300437427645,3.0380737769080497,6.245608900101388,-16.054501572732192,-3.9442678671409794,14.487332990317668,-0.0025273367878871356,-0.002360850394937157,0.04924455753431989,0.06590537316709272
13m/climbmix-10B-s1337,256,0.7841,0.7737458442440754,2.695562114101193,4.957357982561973,-10.36722805093737,-4.298539687812905,2.385803062509382,0.001835429852778847,-0.004617316413114095,0.12697930157439363,0.21781224888451564
13m/climbmix-10B-s2026,256,-0.1964999999999999,-0.3825509700717191,1.9106218564065784,3.5673639769094336,-7.420625212266231,-1.8019193098478752,8.40713347704829,0.012647864946864762,0.019874121907665937,0.07570320842092138,0.14379976219604312
13m/climbmix-10B-s42,256,0.37770000000000004,0.18946083072836473,2.3513255205272685,4.962498996049504,-8.735812495357322,-2.474073533342306,7.853345306552171,0.005417355246976396,0.008670533473049524,0.0841840650846355,0.17059024548476684
