step,tokens_B_from_draft,GDN,MixerLoop,FullLoop
1340,0.17563648,4.138158798217773,4.124017715454102,4.578482151031494
1360,0.17825792,4.202224254608154,4.188907623291016,4.645682334899902
1380,0.18087936,4.1584696769714355,4.141564846038818,4.587920188903809
1400,0.1835008,4.156196594238281,4.143049240112305,4.60693359375
1420,0.18612224,4.17645263671875,4.1637749671936035,4.617115497589111
1440,0.18874368,4.157480716705322,4.1411824226379395,4.5932698249816895
1460,0.19136512,4.133261203765869,4.112212657928467,4.565423488616943
1480,0.19398656,4.141520977020264,4.12031364440918,4.58346700668335
1500,0.196608,4.112042427062988,4.095005035400391,4.556073188781738
1520,0.19922944,4.114947319030762,4.099636077880859,4.557908535003662
1540,0.20185088,4.005755424499512,3.977926731109619,4.455528259277344
1560,0.20447232,4.048402786254883,4.024576187133789,4.515960693359375
1580,0.20709376,4.0213398933410645,4.000453948974609,4.478787422180176
1600,0.2097152,4.05576229095459,4.034214019775391,4.509579658508301
1620,0.21233664,4.0227437019348145,3.997039794921875,4.46912145614624
1640,0.21495808,4.014520645141602,3.9933831691741943,4.459873199462891
1660,0.21757952,4.036827564239502,4.016193866729736,4.497392654418945
1680,0.22020096,3.946807861328125,3.9211015701293945,4.398510932922363
1700,0.2228224,3.8901476860046387,3.866673469543457,4.337320327758789
1720,0.22544384,4.008595943450928,3.983011484146118,4.470746994018555
1740,0.22806528,3.911576986312866,3.8825173377990723,4.38104248046875
1760,0.23068672,3.9846649169921875,3.960660457611084,4.439784049987793
1780,0.23330816,3.929745674133301,3.8995282649993896,4.399749755859375
1800,0.2359296,3.8699686527252197,3.844641923904419,4.316344261169434
1820,0.23855104,3.8824191093444824,3.8531196117401123,4.329294681549072
1840,0.24117248,3.9903452396392822,3.9669928550720215,4.4355645179748535
1860,0.24379392,3.8686084747314453,3.835318088531494,4.320398330688477
1880,0.24641536,3.9150009155273438,3.8834140300750732,4.364603042602539
1900,0.2490368,3.8667097091674805,3.840546131134033,4.323207378387451
1920,0.25165824,3.8811166286468506,3.8483142852783203,4.343937873840332
1940,0.25427968,3.9552905559539795,3.929149627685547,4.407972812652588
1960,0.25690112,3.861891984939575,3.8359534740448,4.318731307983398
1980,0.25952256,3.908010244369507,3.877854347229004,4.366731643676758
2000,0.262144,3.876173257827759,3.8522732257843018,4.314779758453369
2020,0.26476544,3.9208321571350098,3.8882927894592285,4.361088752746582
2040,0.26738688,3.881392478942871,3.853231430053711,4.324432849884033
2060,0.27000832,3.820977210998535,3.7873001098632812,4.265928268432617
2080,0.27262976,3.8584938049316406,3.8342108726501465,4.296928882598877
2100,0.2752512,3.8242602348327637,3.7942330837249756,4.268911838531494
2120,0.27787264,3.827765464782715,3.799100875854492,4.251865863800049
2140,0.28049408,3.8112311363220215,3.7906761169433594,4.2751665115356445
2160,0.28311552,3.8315582275390625,3.801678419113159,4.272069454193115
2180,0.28573696,3.803898811340332,3.77569842338562,4.249730110168457
2200,0.2883584,3.9091176986694336,3.8852901458740234,4.337803840637207
2220,0.29097984,3.8488733768463135,3.8205113410949707,4.306336402893066
2240,0.29360128,3.853389263153076,3.820312738418579,4.292092323303223
2260,0.29622272,3.776135206222534,3.7496466636657715,4.224248886108398
2280,0.29884416,3.790576934814453,3.7601141929626465,4.2498321533203125
2300,0.3014656,3.7754693031311035,3.751920223236084,4.21061897277832
2320,0.30408704,3.7071642875671387,3.682262420654297,4.164883136749268
2340,0.30670848,3.7510664463043213,3.7223432064056396,4.1924333572387695
2360,0.30932992,3.717240810394287,3.6862752437591553,4.181635856628418
2380,0.31195136,3.721065044403076,3.693985939025879,4.146094799041748
2400,0.3145728,3.802367687225342,3.7740373611450195,4.230127334594727
2420,0.31719424,3.800992965698242,3.7737622261047363,4.241114139556885
2440,0.31981568,3.8292388916015625,3.802499294281006,4.257277011871338
2460,0.32243712,3.726132392883301,3.7065277099609375,4.1767706871032715
2480,0.32505856,3.736372709274292,3.7059693336486816,4.178117752075195
2500,0.32768,3.7804837226867676,3.752833127975464,4.2266621589660645
2520,0.33030144,3.8253397941589355,3.7933411598205566,4.243805408477783
2540,0.33292288,3.7561726570129395,3.7274866104125977,4.204366207122803
2560,0.33554432,3.7944960594177246,3.7652688026428223,4.229010581970215
2580,0.33816576,3.7060012817382812,3.6772212982177734,4.126714706420898
2600,0.3407872,3.7592625617980957,3.733811855316162,4.181632041931152
2620,0.34340864,3.7458882331848145,3.7166147232055664,4.1897149085998535
2640,0.34603008,3.7262253761291504,3.697936534881592,4.161622524261475
2660,0.34865152,3.6864373683929443,3.6555981636047363,4.1287665367126465
2680,0.35127296,3.691850423812866,3.6685545444488525,4.114668369293213
2700,0.3538944,3.717994451522827,3.686607837677002,4.140998363494873
2720,0.35651584,3.722886085510254,3.6895477771759033,4.13008975982666
2740,0.35913728,3.6950600147247314,3.6704533100128174,4.119602203369141
2760,0.36175872,3.704583168029785,3.681178092956543,4.121769905090332
2780,0.36438016,3.695091724395752,3.6724140644073486,4.113071918487549
2800,0.3670016,3.7074575424194336,3.6802356243133545,4.105463027954102
2820,0.36962304,3.6272599697113037,3.600503444671631,4.054495811462402
2840,0.37224448,3.6478302478790283,3.617267608642578,4.061402320861816
2860,0.37486592,3.673708438873291,3.648782730102539,4.10916805267334
2880,0.37748736,3.7284116744995117,3.6998915672302246,4.150400638580322
2900,0.3801088,3.684298038482666,3.657625913619995,4.123865127563477
2920,0.38273024,3.635018825531006,3.6088130474090576,4.065769195556641
2940,0.38535168,3.6712121963500977,3.6443941593170166,4.089568138122559
2960,0.38797312,3.723085641860962,3.696430206298828,4.123934268951416
2980,0.39059456,3.6383845806121826,3.612973213195801,4.030684471130371
3000,0.393216,3.672649383544922,3.647794723510742,4.098134517669678
3020,0.39583744,3.648700714111328,3.6208319664001465,4.047774314880371
3040,0.39845888,3.6741883754730225,3.645231008529663,4.077065944671631
3060,0.40108032,3.6620545387268066,3.6334750652313232,4.060845851898193
3080,0.40370176,3.640104055404663,3.6154074668884277,4.082437038421631
3100,0.4063232,3.694685459136963,3.668560028076172,4.1014180183410645
3120,0.40894464,3.6450483798980713,3.6183431148529053,4.052355766296387
3140,0.41156608,3.6266932487487793,3.5979714393615723,4.006677627563477
3160,0.41418752,3.628377914428711,3.6109375953674316,4.020265579223633
3180,0.41680896,3.6580662727355957,3.6309895515441895,4.066501617431641
3200,0.4194304,3.646543025970459,3.6189589500427246,4.02869176864624
3220,0.42205184,3.605574131011963,3.5794126987457275,3.9997401237487793
3240,0.42467328,3.641477108001709,3.6167192459106445,4.046652793884277
3260,0.42729472,3.5918989181518555,3.570667028427124,3.9820592403411865
3280,0.42991616,3.72141432762146,3.696103572845459,4.093238830566406
3300,0.4325376,3.681332588195801,3.6552696228027344,4.062550067901611
3320,0.43515904,3.642214059829712,3.617825984954834,4.05255651473999
3340,0.43778048,3.6672260761260986,3.6396303176879883,4.072978496551514
3360,0.44040192,3.639237403869629,3.615807056427002,4.020379543304443
3380,0.44302336,3.6406869888305664,3.6185498237609863,4.048192024230957
3400,0.4456448,3.6373584270477295,3.6062755584716797,4.021384239196777
3420,0.44826624,3.6454246044158936,3.6203255653381348,4.051900386810303
3440,0.45088768,3.644045352935791,3.61928129196167,4.0436625480651855
3460,0.45350912,3.6431961059570312,3.617621898651123,4.044258117675781
3480,0.45613056,3.591831922531128,3.5761241912841797,3.988708734512329
3500,0.458752,3.6011641025543213,3.5756497383117676,3.9861035346984863
3520,0.46137344,3.5472984313964844,3.522909164428711,3.9127120971679688
3540,0.46399488,3.584632396697998,3.5641274452209473,3.9576401710510254
3560,0.46661632,3.6239733695983887,3.598572254180908,4.005201816558838
3580,0.46923776,3.5503268241882324,3.5261433124542236,3.9385526180267334
3600,0.4718592,3.546597480773926,3.519094228744507,3.9143035411834717
3620,0.47448064,3.5857391357421875,3.5565388202667236,3.9552204608917236
3640,0.47710208,3.571796417236328,3.5439250469207764,3.9381277561187744
3660,0.47972352,3.618312120437622,3.5969882011413574,4.002563953399658
3680,0.48234496,3.611370086669922,3.5955100059509277,3.983949899673462
3700,0.4849664,3.5650806427001953,3.5437960624694824,3.940373659133911
3720,0.48758784,3.601830244064331,3.5686004161834717,3.9636616706848145
3740,0.49020928,3.5211844444274902,3.496758460998535,3.902083396911621
3760,0.49283072,3.5388526916503906,3.5154688358306885,3.920656442642212
3780,0.49545216,3.5458319187164307,3.5232367515563965,3.9012954235076904
3800,0.4980736,3.5600719451904297,3.5323758125305176,3.9527008533477783
3820,0.50069504,3.502009153366089,3.475609302520752,3.876420259475708
3840,0.50331648,3.5544753074645996,3.5284230709075928,3.897393226623535
3860,0.50593792,3.5788819789886475,3.5573408603668213,3.93084716796875
3880,0.50855936,3.5845961570739746,3.5538153648376465,3.942819356918335
3900,0.5111808,3.5837759971618652,3.555001735687256,3.948718547821045
3920,0.51380224,3.5889596939086914,3.563425302505493,3.9340105056762695
3940,0.51642368,3.565506935119629,3.5430448055267334,3.917980670928955
3960,0.51904512,3.5857064723968506,3.5620481967926025,3.9315080642700195
3980,0.52166656,3.563612937927246,3.5379526615142822,3.900341510772705
4000,0.524288,3.5592544078826904,3.535288095474243,3.9122912883758545
4020,0.52690944,3.6126632690429688,3.591031789779663,3.9539530277252197
4040,0.52953088,3.577932834625244,3.550585985183716,3.9118854999542236
4060,0.53215232,3.565404176712036,3.538174629211426,3.9283337593078613
4080,0.53477376,3.5154151916503906,3.490377902984619,3.865840435028076
4100,0.5373952,3.511110544204712,3.4906721115112305,3.862250328063965
4120,0.54001664,3.541074275970459,3.5202748775482178,3.875943183898926
4140,0.54263808,3.6036272048950195,3.580190658569336,3.933779716491699
4160,0.54525952,3.623420238494873,3.6028642654418945,3.9541220664978027
4180,0.54788096,3.6056647300720215,3.5828843116760254,3.9387810230255127
4200,0.5505024,3.540713310241699,3.515674114227295,3.867034673690796
4220,0.55312384,3.60526180267334,3.579481601715088,3.947139263153076
4240,0.55574528,3.4857120513916016,3.4643139839172363,3.806140422821045
4260,0.55836672,3.496504545211792,3.4705872535705566,3.813260316848755
4280,0.56098816,3.5498719215393066,3.5308570861816406,3.8805320262908936
4300,0.5636096,3.5199806690216064,3.4930810928344727,3.8258004188537598
4320,0.56623104,3.527327299118042,3.4976205825805664,3.860658645629883
4340,0.56885248,3.55613374710083,3.5326499938964844,3.9059414863586426
4360,0.57147392,3.4796957969665527,3.4605765342712402,3.7960455417633057
4380,0.57409536,3.531564712524414,3.505500316619873,3.8658595085144043
4400,0.5767168,3.497722625732422,3.4787089824676514,3.8163857460021973
4420,0.57933824,3.491039752960205,3.4659712314605713,3.8230273723602295
4440,0.58195968,3.499596357345581,3.4734749794006348,3.8207204341888428
4460,0.58458112,3.561283588409424,3.5409798622131348,3.8775932788848877
4480,0.58720256,3.586327075958252,3.5585885047912598,3.896472454071045
4500,0.589824,3.5311734676361084,3.510468006134033,3.8366312980651855
4520,0.59244544,3.5860440731048584,3.560351610183716,3.883981943130493
4540,0.59506688,3.5600903034210205,3.5317420959472656,3.8752129077911377
4560,0.59768832,3.5952792167663574,3.5745632648468018,3.894563674926758
4580,0.60030976,3.4705467224121094,3.4493396282196045,3.7740814685821533
4600,0.6029312,3.541201114654541,3.5194411277770996,3.858870029449463
4620,0.60555264,3.4934535026550293,3.469148874282837,3.7966084480285645
4640,0.60817408,3.471346616744995,3.444711446762085,3.783933162689209
4660,0.61079552,3.576256275177002,3.553866386413574,3.876617193222046
4680,0.61341696,3.551192283630371,3.5320382118225098,3.8373453617095947
4700,0.6160384,3.5619583129882812,3.5442733764648438,3.8387258052825928
4720,0.61865984,3.4438540935516357,3.4202942848205566,3.7334423065185547
4740,0.62128128,3.4654898643493652,3.4379358291625977,3.7597954273223877
4760,0.62390272,3.5148279666900635,3.491842031478882,3.7917680740356445
4780,0.62652416,3.506211519241333,3.4834184646606445,3.801703929901123
4800,0.6291456,3.54144287109375,3.5212624073028564,3.834923505783081
4820,0.63176704,3.587278127670288,3.5677006244659424,3.8732199668884277
4840,0.63438848,3.5383307933807373,3.521106243133545,3.8181264400482178
4860,0.63700992,3.5103251934051514,3.490767240524292,3.7972493171691895
4880,0.63963136,3.528362274169922,3.5063583850860596,3.8106565475463867
4900,0.6422528,3.522055149078369,3.5027832984924316,3.803288698196411
4920,0.64487424,3.530783176422119,3.5012876987457275,3.8131206035614014
4940,0.64749568,3.5388259887695312,3.5134360790252686,3.8268041610717773
4960,0.65011712,3.558983087539673,3.5278773307800293,3.8311448097229004
4980,0.65273856,3.573575258255005,3.551239490509033,3.843402147293091
5000,0.65536,3.515103578567505,3.4875636100769043,3.795624256134033
5020,0.65798144,3.525702476501465,3.505844831466675,3.792802333831787
5040,0.66060288,3.55572509765625,3.530508041381836,3.8311023712158203
5060,0.66322432,3.5613486766815186,3.5347979068756104,3.824233293533325
5080,0.66584576,3.466538429260254,3.4463093280792236,3.7339165210723877
5100,0.6684672,3.573772430419922,3.5565857887268066,3.8448569774627686
5120,0.67108864,3.5230860710144043,3.4996957778930664,3.7904233932495117
5140,0.67371008,3.4736390113830566,3.4512648582458496,3.736056327819824
5160,0.67633152,3.5302579402923584,3.5083043575286865,3.8068184852600098
5180,0.67895296,3.527371644973755,3.5036027431488037,3.7951414585113525
5200,0.6815744,3.481184482574463,3.457751750946045,3.723464250564575
5220,0.68419584,3.4713151454925537,3.4446656703948975,3.7234723567962646
5240,0.68681728,3.517897605895996,3.4966440200805664,3.7751834392547607
5260,0.68943872,3.489487409591675,3.467228412628174,3.7504868507385254
5280,0.69206016,3.5214438438415527,3.5006566047668457,3.776401996612549
5300,0.6946816,3.4017398357391357,3.378333568572998,3.656809091567993
5320,0.69730304,3.5041518211364746,3.481924057006836,3.7681031227111816
5340,0.69992448,3.4861063957214355,3.465733528137207,3.7305569648742676
5360,0.70254592,3.526503086090088,3.5018863677978516,3.7824289798736572
5380,0.70516736,3.4476044178009033,3.422344207763672,3.701018810272217
5400,0.7077888,3.5208752155303955,3.4969987869262695,3.7674598693847656
5420,0.71041024,3.492194652557373,3.4690089225769043,3.7279465198516846
5440,0.71303168,3.554487705230713,3.5220720767974854,3.798184871673584
5460,0.71565312,3.502340316772461,3.4817943572998047,3.746633291244507
5480,0.71827456,3.5442326068878174,3.5281729698181152,3.802302598953247
5500,0.720896,3.568777084350586,3.542222499847412,3.8166520595550537
5520,0.72351744,3.4641427993774414,3.4400105476379395,3.69822359085083
5540,0.72613888,3.480266809463501,3.460061550140381,3.7158212661743164
5560,0.72876032,3.4786596298217773,3.455967426300049,3.727349281311035
5580,0.73138176,3.4990944862365723,3.4751980304718018,3.7416882514953613
5600,0.7340032,3.4531707763671875,3.4316062927246094,3.69773006439209
5620,0.73662464,3.4903953075408936,3.4624180793762207,3.7252073287963867
5640,0.73924608,3.4235682487487793,3.4026546478271484,3.6564033031463623
5660,0.74186752,3.512643814086914,3.490626335144043,3.7447845935821533
5680,0.74448896,3.4199750423431396,3.3940212726593018,3.6591551303863525
5700,0.7471104,3.532226085662842,3.507843494415283,3.765138626098633
5720,0.74973184,3.4414024353027344,3.4140005111694336,3.6732583045959473
5740,0.75235328,3.461930751800537,3.4429898262023926,3.693439245223999
5760,0.75497472,3.5275583267211914,3.5069124698638916,3.7509565353393555
5780,0.75759616,3.4739861488342285,3.4505772590637207,3.7019689083099365
5800,0.7602176,3.458662509918213,3.4339444637298584,3.6901378631591797
5820,0.76283904,3.486759901046753,3.4641530513763428,3.707155704498291
5840,0.76546048,3.514657974243164,3.491535186767578,3.7315733432769775
5860,0.76808192,3.4865448474884033,3.4623708724975586,3.7044548988342285
5880,0.77070336,3.4939980506896973,3.473985195159912,3.719662666320801
5900,0.7733248,3.485945701599121,3.455623149871826,3.7055556774139404
5920,0.77594624,3.387434959411621,3.36586856842041,3.613403081893921
5940,0.77856768,3.475914239883423,3.4555230140686035,3.6999223232269287
5960,0.78118912,3.4833590984344482,3.458836793899536,3.70263671875
5980,0.78381056,3.4427666664123535,3.4181814193725586,3.66668438911438
6000,0.786432,3.4655280113220215,3.4401073455810547,3.6764369010925293
6020,0.78905344,3.4520862102508545,3.4278554916381836,3.670436143875122
6040,0.79167488,3.4336657524108887,3.407604455947876,3.644801378250122
6060,0.79429632,3.4658308029174805,3.443127393722534,3.676337242126465
6080,0.79691776,3.4566450119018555,3.4388833045959473,3.668046236038208
6100,0.7995392,3.4854211807250977,3.465426445007324,3.6853840351104736
6120,0.80216064,3.482558488845825,3.459627151489258,3.6934103965759277
6140,0.80478208,3.4880597591400146,3.462007522583008,3.6962766647338867
6160,0.80740352,3.5158851146698,3.493525505065918,3.7222983837127686
6180,0.81002496,3.4286296367645264,3.4066410064697266,3.6329615116119385
6200,0.8126464,3.5122289657592773,3.488727569580078,3.717585802078247
6220,0.81526784,3.448221206665039,3.428711175918579,3.655062198638916
6240,0.81788928,3.467381000518799,3.44932222366333,3.6694295406341553
6260,0.82051072,3.3717665672302246,3.344971179962158,3.5739543437957764
6280,0.82313216,3.5145716667175293,3.491598129272461,3.7111287117004395
6300,0.8257536,3.4458107948303223,3.42206072807312,3.641587734222412
6320,0.82837504,3.395803451538086,3.3728175163269043,3.5913922786712646
6340,0.83099648,3.461388349533081,3.437148094177246,3.658125638961792
6360,0.83361792,3.473862409591675,3.452723741531372,3.680248498916626
6380,0.83623936,3.419160842895508,3.3915462493896484,3.614349842071533
6400,0.8388608,3.4002444744110107,3.3776700496673584,3.6021413803100586
6420,0.84148224,3.4509711265563965,3.424569845199585,3.6502230167388916
6440,0.84410368,3.4639389514923096,3.442307472229004,3.6681413650512695
6460,0.84672512,3.477689027786255,3.4544317722320557,3.6753242015838623
6480,0.84934656,3.446485996246338,3.4216113090515137,3.6470847129821777
6500,0.851968,3.4848134517669678,3.4614875316619873,3.6716930866241455
6520,0.85458944,3.4561829566955566,3.4357662200927734,3.651060104370117
6540,0.85721088,3.471677780151367,3.444464921951294,3.660531997680664
6560,0.85983232,3.4576730728149414,3.4317569732666016,3.651083469390869
6580,0.86245376,3.426114559173584,3.4070076942443848,3.625236988067627
6600,0.8650752,3.4514293670654297,3.422959327697754,3.642430305480957
6620,0.86769664,3.4734411239624023,3.449321746826172,3.664313554763794
6640,0.87031808,3.4410367012023926,3.41483998298645,3.630451202392578
6660,0.87293952,3.406463146209717,3.38217830657959,3.6020708084106445
6680,0.87556096,3.4941980838775635,3.4716296195983887,3.67903995513916
6700,0.8781824,3.4510369300842285,3.4312713146209717,3.648097038269043
6720,0.88080384,3.487931251525879,3.4679765701293945,3.670693874359131
6740,0.88342528,3.4977874755859375,3.4732823371887207,3.6768524646759033
6760,0.88604672,3.3870067596435547,3.3623156547546387,3.573683500289917
6780,0.88866816,3.4840407371520996,3.4633946418762207,3.666106700897217
6800,0.8912896,3.409364700317383,3.382869243621826,3.5891051292419434
6820,0.89391104,3.471585273742676,3.448594808578491,3.6577863693237305
6840,0.89653248,3.479783535003662,3.4607431888580322,3.6616203784942627
6860,0.89915392,3.4095077514648438,3.3844106197357178,3.596419334411621
6880,0.90177536,3.3993048667907715,3.377467632293701,3.575014352798462
6900,0.9043968,3.512019395828247,3.486170768737793,3.696125030517578
6920,0.90701824,3.454537868499756,3.4256210327148438,3.6309826374053955
6940,0.90963968,3.4721436500549316,3.4448957443237305,3.6510939598083496
6960,0.91226112,3.401001214981079,3.3772318363189697,3.5779991149902344
6980,0.91488256,3.4621686935424805,3.440675735473633,3.6380786895751953
7000,0.917504,3.356055974960327,3.3335814476013184,3.5336976051330566
7020,0.92012544,3.4615628719329834,3.434598684310913,3.6310527324676514
7040,0.92274688,3.415408134460449,3.392608165740967,3.5803332328796387
7060,0.92536832,3.396047830581665,3.3752846717834473,3.567556858062744
7080,0.92798976,3.4298672676086426,3.4046764373779297,3.5962533950805664
7100,0.9306112,3.37381911277771,3.350419521331787,3.5380218029022217
7120,0.93323264,3.3803062438964844,3.3560523986816406,3.5544700622558594
7140,0.93585408,3.4516210556030273,3.4303131103515625,3.623703956604004
7160,0.93847552,3.4326276779174805,3.4081695079803467,3.605591058731079
7180,0.94109696,3.4755351543426514,3.447598934173584,3.638842821121216
7200,0.9437184,3.4203014373779297,3.399604320526123,3.59001088142395
7220,0.94633984,3.4405245780944824,3.4196581840515137,3.6036784648895264
7240,0.94896128,3.5098228454589844,3.486265182495117,3.6816914081573486
7260,0.95158272,3.3845131397247314,3.357269763946533,3.553323268890381
7280,0.95420416,3.4185359477996826,3.3930227756500244,3.5892481803894043
7300,0.9568256,3.4208474159240723,3.398710250854492,3.58827543258667
7320,0.95944704,3.389482259750366,3.3665542602539062,3.5519442558288574
7340,0.96206848,3.445873737335205,3.4267258644104004,3.613978385925293
7360,0.96468992,3.442121982574463,3.421685218811035,3.6055593490600586
7380,0.96731136,3.448263168334961,3.4260458946228027,3.6190669536590576
7400,0.9699328,3.475322961807251,3.458065986633301,3.6476035118103027
7420,0.97255424,3.4313013553619385,3.406290292739868,3.5999209880828857
7440,0.97517568,3.35459566116333,3.332259178161621,3.5204062461853027
7460,0.97779712,3.3811004161834717,3.359144687652588,3.538634777069092
7480,0.98041856,3.4330220222473145,3.4179835319519043,3.591980457305908
7500,0.98304,3.4308087825775146,3.406034469604492,3.5909502506256104
7520,0.98566144,3.3964710235595703,3.3712592124938965,3.5545308589935303
7540,0.98828288,3.430715560913086,3.411485195159912,3.5840301513671875
7560,0.99090432,3.4504475593566895,3.4337596893310547,3.6177144050598145
7580,0.99352576,3.4714999198913574,3.4504506587982178,3.6278631687164307
7600,0.9961472,3.438446283340454,3.4262239933013916,3.6031455993652344
7620,0.99876864,3.3924694061279297,3.37430477142334,3.5610897541046143
7640,1.00139008,3.492126941680908,3.466665029525757,3.6520848274230957
7660,1.00401152,3.3844268321990967,3.362872838973999,3.538705348968506
7680,1.00663296,3.368112087249756,3.346217155456543,3.527282953262329
7700,1.0092544,3.3724327087402344,3.3497161865234375,3.530961036682129
7720,1.01187584,3.4724371433258057,3.4478600025177,3.62300705909729
7740,1.01449728,3.3996517658233643,3.3798422813415527,3.553642988204956
7760,1.01711872,3.4571404457092285,3.4382269382476807,3.6085615158081055
7780,1.01974016,3.4018757343292236,3.378891944885254,3.548854351043701
7800,1.0223616,3.3565213680267334,3.3366806507110596,3.5115997791290283
7820,1.02498304,3.382615566253662,3.3564095497131348,3.534590005874634
7840,1.02760448,3.3859777450561523,3.36405873298645,3.544466972351074
7860,1.03022592,3.451918601989746,3.4307594299316406,3.6009361743927
7880,1.03284736,3.38533353805542,3.3621482849121094,3.5399789810180664
7900,1.0354688,3.3379266262054443,3.313955783843994,3.494320869445801
7920,1.03809024,3.3591115474700928,3.3384597301483154,3.5043270587921143
7940,1.04071168,3.4078094959259033,3.385350465774536,3.5563509464263916
7960,1.04333312,3.3691210746765137,3.342276096343994,3.523080587387085
7980,1.04595456,3.307631731033325,3.288329601287842,3.4597253799438477
8000,1.048576,3.356534242630005,3.334200859069824,3.5065975189208984
8020,1.05119744,3.3571345806121826,3.342095375061035,3.5087404251098633
8040,1.05381888,3.3655054569244385,3.343449115753174,3.513911724090576
8060,1.05644032,3.4289984703063965,3.4036428928375244,3.574918270111084
8080,1.05906176,3.422290325164795,3.396519422531128,3.573112964630127
8100,1.0616832,3.424879312515259,3.398555278778076,3.567439556121826
8120,1.06430464,3.386056423187256,3.3671717643737793,3.5301685333251953
8140,1.06692608,3.480358600616455,3.4605154991149902,3.6242904663085938
